Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
151,Killinick,Wexford,-6.489048,52.242571,275000,2,4,E2,detached,,284299.2846
152,Blackwater,Wexford,-6.374576,52.433192,245000,2,4,C3,detached,144,320837.0598
153,Camolin,Wexford,-6.475887,52.624,345000,3,4,D1,detached,124,314998.83
154,Enniscorthy,Wexford,-6.569139,52.508208,385000,5,4,B3,detached,312.62,358553.7501
155,Campile,Wexford,-6.957689,52.307791,249000,2,3,C2,detached,,284207.3556
156,Enniscorthy,Wexford,-6.580586,52.515158,215000,3,4,B3,semi-detached,124.6,314468.6818
157,Ferns,Wexford,-6.498948,52.58941,350000,2,3,E1,detached,139.4,320989.4036
158,Enniscorthy,Wexford,-6.59818,52.471284,250000,2,4,E2,detached,173.2,327462.4053
159,Wexford Town,Wexford,-6.471602,52.325923,287500,3,4,D2,detached,,283435.0296
160,Wexford Town,Wexford,-6.490524,52.332788,175000,3,3,C3,semi-detached,93,307552.9497
161,Ardamine,Wexford,-6.234177,52.630655,265000,3,4,D1,detached,183,330358.7634
162,Castlebridge,Wexford,-6.447191,52.37989,379000,4,5,C3,detached,200,330714.2486
163,Wexford Town,Wexford,-6.465315,52.341661,175000,2,6,F,terraced,192,329744.0724
164,New Ross,Wexford,-6.94808,52.390219,275000,2,4,D2,detached,184.69,328933.7601
165,Enniscorthy,Wexford,-6.570878,52.511376,195000,3,3,C2,semi-detached,109,311819.1911
166,Wexford Town,Wexford,-6.527381,52.322067,325000,2,4,E1,detached,195.7,332768.9404
167,Gorey,Wexford,-6.298958,52.670191,260000,3,4,C3,semi-detached,140,319658.4594
168,Duncannon,Wexford,-6.93284,52.221718,450000,2,4,E1,detached,260,347046.9347
169,New Ross,Wexford,-6.943886,52.390024,165000,1,3,G,semi-detached,65,301752.9956
170,Adamstown,Wexford,-6.716427729,52.3886098,165000,3,3,,semi-detached,,284044.0792
171,Mayglass,Wexford,-6.520357,52.244434,165000,2,3,E2,detached,,285391.0313
172,Gorey,Wexford,-6.366563,52.790707,825000,7,5,C3,detached,533,410974.1302
173,Enniscorthy,Wexford,-6.589281,52.506392,950000,5,5,B1,detached,350,366532.0163
174,Ballymitty,Wexford,-6.719045,52.280247,220000,2,4,E1,detached,,283690.6521
175,Gorey,Wexford,-6.289973,52.681704,290000,3,4,C2,detached,155,323428.5928
176,Camolin,Wexford,-6.405707,52.588482,395000,4,4,D1,detached,300,357395.0354
177,Gorey,Wexford,-6.463064,52.713026,235000,2,4,D1,detached,176.45,329463.1511
178,Newbawn,Wexford,-6.755784,52.330967,135000,1,3,G,detached,92.9,309052.1062
179,Courtown,Wexford,-6.232043,52.649662,118000,2,2,C3,terraced,90.4,311108.8612
180,Clonegal,Wexford,-6.640549,52.69209,180000,3,4,C2,detached,128.05,315694.3974
181,Gorey,Wexford,-6.480504,52.672361,130000,1,4,D2,detached,162,326894.2331
182,Kiltealy,Wexford,-6.721916,52.577844,185000,2,4,D1,detached,,284629.4033
183,Tagoat,Wexford,-6.385932,52.243701,155000,2,4,C3,semi-detached,120,314269.5551
184,Wexford Town,Wexford,-6.462597,52.331917,80000,1,2,G,terraced,68,305018.6483
185,Wellington Bridge,Wexford,-6.722221,52.243724,230000,1,4,C3,detached,94.8,308164.8648
186,Gorey,Wexford,-6.269407,52.726249,420000,3,4,C2,detached,205,335985.6217
187,Rosslare Harbour,Wexford,-6.340844,52.249535,140000,2,2,B2,terraced,72,304944.9752
188,New Ross,Wexford,-6.959312,52.395333,229000,1,5,B2,semi-detached,,283296.0352
189,New Ross,Wexford,-6.959993,52.395686,195000,1,3,B2,end-of-terrace,,285665.0021
190,Courtown,Wexford,-6.238012,52.643918,450000,4,4,C2,detached,260,348222.8568
191,Barntown,Wexford,-6.560763,52.333967,329000,2,4,C3,detached,,284363.1877
192,Gorey,Wexford,-6.3014,52.673756,185000,2,3,E2,townhouse,114.4,315708.8777
193,Ferns,Wexford,-6.457053,52.59352,390000,0,4,Exempt,detached,202,337782.4173
194,Enniscorthy,Wexford,-6.550853,52.455699,170000,1,2,G,detached,91.04,310824.179
195,Gorey,Wexford,-6.297278,52.697195,549500,5,5,B3,detached,295,354479.7894
196,Enniscorthy,Wexford,-6.662661,52.517322,295000,3,5,B3,detached,312.89,359538.1905
197,Enniscorthy,Wexford,-6.60916,52.575231,499000,4,4,C3,detached,,282608.2919
198,Oulart,Wexford,-6.391839,52.504201,250000,3,4,C2,detached,127.4,315723.3342
199,New Ross,Wexford,-6.915439,52.353977,445000,4,5,B1,detached,,279748.306
200,Enniscorthy,Wexford,-6.569894,52.495846,129000,1,4,E2,semi-detached,,286034.8453
201,Piercestown,Wexford,-6.48873,52.281265,215000,1,3,D2,detached,100,311493.5324
202,Campile,Wexford,-6.941772,52.298767,167500,2,2,F,detached,,285414.0392
203,Wexford Town,Wexford,-6.451709,52.329087,85000,1,2,G,end-of-terrace,62,303562.128
204,Fethard-On-Sea,Wexford,-6.876990585,52.1771203,190000,1,4,G,detached,230,340856.822
205,Courtown,Wexford,-6.241593,52.643011,164000,2,2,C1,terraced,85,309723.6234
206,Ardamine,Wexford,-6.236428,52.628002,199000,2,4,D2,detached,141,321154.1825
207,Duncormick,Wexford,-6.664278,52.243462,145000,2,3,D1,end-of-terrace,,284931.9938
208,Ballymoney,Wexford,-6.21763,52.672282,230000,3,4,C3,detached,124,315970.7663
209,Wexford Town,Wexford,-6.458461,52.333876,165000,1,2,E2,terraced,,288241.9906
210,Duncormick,Wexford,-6.71636,52.219147,399000,3,4,B3,detached,204.4,332806.3547
211,Ballymurn,Wexford,-6.457802,52.459931,300000,3,5,B3,detached,223,337801.5635
212,Wexford Town,Wexford,-6.462282,52.335837,315000,2,1,C1,terraced,83,308737.1315
213,Wexford Town,Wexford,-6.465933,52.351845,495000,3,5,D2,detached,174.75,325513.8006
214,Enniscorthy,Wexford,-6.595297,52.516151,265000,3,4,C2,detached,135,316994.04
215,Enniscorthy,Wexford,-6.550603,52.536678,195000,2,3,D1,detached,175.24,329510.2891
216,Enniscorthy,Wexford,-6.569542,52.50017,143000,2,2,D2,terraced,85,308229.7324
217,Enniscorthy,Wexford,-6.517408,52.470797,235000,1,2,C2,detached,120.12,318160.9799
218,New Ross,Wexford,-6.871195,52.395974,349000,3,5,B3,detached,237,339746.2314
219,Gorey,Wexford,-6.254135,52.693069,595000,3,4,D1,detached,208,336669.3251
220,Gorey,Wexford,-6.300266,52.680505,195000,2,3,C3,terraced,79.72,307168.0057
221,Monamolin,Wexford,-6.406571,52.565187,280000,2,3,C2,detached,160,326293.1037
222,Courtown,Wexford,-6.233112,52.648401,195000,2,4,D1,semi-detached,100,311102.6584
223,Fethard-On-Sea,Wexford,-6.894342,52.181798,275000,1,4,D1,detached,153.3,321871.8512
224,Wexford Town,Wexford,-6.46773,52.329471,150000,2,3,E1,terraced,,285828.5965
225,Gorey,Wexford,-6.274037,52.678679,195000,2,3,D1,end-of-terrace,89.91,309762.2134
226,Wexford Town,Wexford,-6.456805,52.384309,320000,2,4,D1,detached,149,321655.8659
227,Kilmore Quay,Wexford,-6.58513,52.177099,245000,2,3,,detached,82,305225.3685
228,New Ross,Wexford,-6.940076,52.385304,159000,1,3,C1,end-of-terrace,,285695.0325
229,New Ross,Wexford,-6.89489,52.33883,135000,1,2,E2,semi-detached,74.3,305227.262
230,Wexford Town,Wexford,-6.465991,52.327299,245000,2,4,D1,detached,,284642.1878
231,Duncormick,Wexford,-6.65252,52.229264,150000,2,3,C3,semi-detached,,284924.0225
232,Gorey,Wexford,-6.295902,52.67645,180000,1,3,G,townhouse,78.32,308008.1157
233,Gorey,Wexford,-6.340585,52.753645,330000,2,4,C3,detached,179,330610.386
234,New Ross,Wexford,-6.941865,52.390441,165000,1,3,F,end-of-terrace,89.5,307812.2263
235,Campile,Wexford,-6.942157,52.293639,135000,2,4,D2,end-of-terrace,113.44,311046.1668
236,Enniscorthy,Wexford,-6.618509,52.519375,379500,3,7,B3,detached,252,342274.7729
237,Bunclody,Wexford,-6.665199,52.630582,345000,3,5,D1,detached,283,352508.0532
238,Ballymurn,Wexford,-6.471687,52.438843,250000,3,5,E1,detached,191.9,330008.7105
239,Wexford Town,Wexford,-6.477964,52.320779,195000,2,3,C3,semi-detached,,285768.4912
240,Wexford Town,Wexford,-6.499208,52.324765,199000,3,4,C3,end-of-terrace,108,310019.8856
241,New Ross,Wexford,-6.79297,52.439052,285000,2,4,B3,detached,170,325952.2517
242,Enniscorthy,Wexford,-6.574544,52.51389,230000,2,5,D1,detached,135,317052.5843
243,Enniscorthy,Wexford,-6.579255,52.447692,248500,2,3,D1,detached,134.2,318999.2192
244,Enniscorthy,Wexford,-6.515199,52.471103,349000,3,4,C3,detached,168,325255.3126
245,Castlebridge,Wexford,-6.444384,52.382211,250000,3,4,B3,semi-detached,153.3,321565.6335
246,Enniscorthy,Wexford,-6.574676,52.516489,220000,3,4,B3,semi-detached,,283715.4439
247,Enniscorthy,Wexford,-6.576669,52.48525,890000,4,5,F,detached,302,355833.6339
248,Wexford Town,Wexford,-6.475481,52.339881,185000,2,4,E1,semi-detached,116,313304.1972
249,Taghmon,Wexford,-6.687318,52.337214,269000,3,4,E2,detached,142,317861.6032
250,Campile,Wexford,-6.880223,52.307063,299500,3,4,C2,detached,,282080.4492
251,Wexford Town,Wexford,-6.4531963,52.3298783,145000,2,3,F,end-of-terrace,,285875.9365
252,Murrintown,Wexford,-6.530819,52.306582,450000,3,5,B3,detached,,282000.8291
253,Duncannon,Wexford,-6.931001,52.221989,335000,2,4,C1,semi-detached,115,311238.6238
254,Blackwater,Wexford,-6.359326,52.421796,120000,1,4,D2,detached,,286466.0755
255,Enniscorthy,Wexford,-6.535884,52.503452,,1,4,Exempt,detached,,286166.8141
256,Kilrane,Wexford,-6.346834,52.239481,174950,3,3,C2,end-of-terrace,,284739.9769
257,Arthurstown,Wexford,-6.952312,52.242581,100000,3,3,D1,detached,,282831.6961
258,New Ross,Wexford,-6.903598,52.373405,279000,3,5,D1,detached,170,323022.6965
259,Wexford Town,Wexford,-6.463101,52.335263,134000,1,2,F,terraced,64.1,304064.4087
260,Kilmuckridge,Wexford,-6.284717,52.512019,170000,1,3,D1,terraced,92,310898.7971
261,Kilmore Quay,Wexford,-6.585705,52.17639,195000,1,6,,detached,145,318412.2887
262,Ferns,Wexford,-6.501054022,52.60910536,365000,3,4,D1,detached,185,329938.6614
263,Kilmuckridge,Wexford,-6.292684,52.502612,280000,4,4,C3,detached,165,324134.5963
264,Tagoat,Wexford,-6.39338,52.243268,325000,6,5,C2,detached,209,330302.5807
265,Duncannon,Wexford,-6.931646,52.220767,187500,1,2,C3,terraced,75,304907.6884
266,Gorey,Wexford,-6.364293,52.662799,143000,1,3,F,terraced,,288402.9346
267,Fethard-On-Sea,Wexford,-6.837045,52.183024,199000,0,4,E2,detached,,285377.1729
268,Bunclody,Wexford,-6.652307,52.643516,187000,2,4,D1,detached,123,315440.0899
269,Fethard-On-Sea,Wexford,-6.880309,52.174836,395000,5,6,C1,detached,259.9,341114.3337
270,Campile,Wexford,-6.943046,52.291233,100000,1,4,E1,terraced,75,302726.0074
271,Fethard-On-Sea,Wexford,-6.894465,52.157477,175000,1,3,F,detached,110,312283.8991
272,Tara Hill,Wexford,-6.209444,52.704485,210000,1,3,D2,detached,,289026.2661
273,Enniscorthy,Wexford,-6.569493,52.502028,240000,1,4,G,townhouse,310,362625.8054
274,New Ross,Wexford,-6.818869,52.357567,265000,1,3,D2,detached,100,310690.6739
275,Coolgreany,Wexford,-6.295955,52.775327,215000,1,5,C3,detached,95,310072.8311
276,Coolgreany,Wexford,-6.235056,52.763864,190000,1,3,D2,semi-detached,80,308894.2494
277,Riverchapel,Wexford,-6.232109,52.633614,150000,3,4,D2,terraced,102,310367.7393
278,Blackwater,Wexford,-6.2383223,52.5141228,235000,1,2,F,detached,58,303839.4761
279,Rosslare Strand,Wexford,-6.384363203,52.26912518,300000,2,4,,terraced,92.9,307661.8011
280,Kilrane,Wexford,-6.355414,52.240598,415000,4,5,C3,detached,194,329079.3531
281,Rosslare Harbour,Wexford,-6.337161,52.248497,275000,3,13,Exempt,detached,,272949.3369
282,Ballyedmond,Wexford,-6.337674,52.548307,325000,4,7,C2,detached,197.08,328506.3666
283,Monamolin,Wexford,-6.338339,52.552925,170000,2,3,C3,detached,87.29,308510.8382
284,Tacumshane,Wexford,-6.415309,52.198701,450000,3,5,F,detached,210,333893.1638
285,Kilanerin,Wexford,-6.282307,52.728658,650000,6,6,B3,detached,271,346329.4272
286,Ramsgrange,Wexford,-6.91696,52.249193,199000,2,3,D1,detached,,284149.7504
287,Arthurstown,Wexford,-6.955347,52.245045,160000,2,3,D1,detached,95,307479.929
288,Enniscorthy,Wexford,-6.556009,52.494004,112000,1,3,C3,semi-detached,,287257.9662
289,Wexford Town,Wexford,-6.470983,52.344737,395000,4,4,B3,end-of-terrace,222,337145.9132
290,Barntown,Wexford,-6.560778,52.338825,420000,3,5,B1,detached,260,346228.6129
291,Tomhaggard,Wexford,-6.527485,52.225942,125000,2,3,F,detached,116.1,313986.2528
292,Clonroche,Wexford,-6.674508,52.450513,259800,3,4,C1,detached,161.53,323086.9526
293,Wexford Town,Wexford,-6.459739,52.32897,165000,2,4,D1,semi-detached,119,314060.3163
294,Blackwater,Wexford,-6.334334,52.456565,349000,3,4,C3,detached,168.1,325806.6894
295,Kilmuckridge,Wexford,-6.288476,52.489202,280000,3,4,C2,detached,168.46,326144.8364
296,Rosslare Harbour,Wexford,-6.327823,52.245107,550000,4,4,B2,detached,377,375567.1225
297,Rosslare Strand,Wexford,-6.395724,52.263948,220000,1,4,G,detached,156,324380.0207
298,New Ross,Wexford,-6.946704,52.392365,125000,1,5,F,detached,185,329021.5243
299,New Ross,Wexford,-6.940738,52.393554,139000,1,3,E1,end-of-terrace,,285719.2115
300,Gorey,Wexford,-6.232873,52.63976,130000,2,3,D1,terraced,73,305591.8939
301,Enniscorthy,Wexford,-6.574905,52.414275,220000,2,4,D2,detached,170,326564.1668
302,Enniscorthy,Wexford,-6.562963,52.506705,210000,3,5,G,detached,178,326502.3886
303,Enniscorthy,Wexford,-6.55151964,52.49744946,170000,2,4,C2,semi-detached,,284913.1623
304,Bree,Wexford,-6.6131532,52.4592374,280000,5,6,C3,detached,,278671.2018
305,Enniscorthy,Wexford,-6.563802333,52.50477923,127500,1,3,,semi-detached,,287267.5961
306,Enniscorthy,Wexford,-6.5675172,52.5006675,245000,2,6,C3,terraced,,282502.7315
307,Arthurstown,Wexford,-6.952114,52.245253,250000,2,3,D1,detached,100,308725.8337
308,Enniscorthy,Wexford,-6.459802,52.553603,290000,5,5,C1,detached,270,347332.5728
309,New Ross,Wexford,-6.938942,52.391657,99000,1,3,E2,end-of-terrace,,285718.8593
310,Rosslare Harbour,Wexford,-6.346944,52.243318,195000,1,2,G,detached,,288306.8492
311,Gorey,Wexford,-6.240249,52.69247,900000,5,4,B3,detached,372,374849.4081
312,Kilmore,Wexford,-6.572630409,52.19214906,270000,2,3,,detached,,285058.9016
313,Enniscorthy,Wexford,-6.5583798,52.5013409,185000,2,3,D2,semi-detached,,286088.8236
314,Wexford Town,Wexford,-6.482696,52.332153,,2,5,D2,detached,,283419.7264
315,New Ross,Wexford,-6.968024,52.401419,240000,1,4,D1,detached,125.4,315446.6195
316,Gorey,Wexford,-6.270748,52.741741,475000,3,5,B2,detached,261,348677.7154
317,Ballycullane,Wexford,-6.839072,52.280414,110000,1,2,F,end-of-terrace,61.3,302007.0385
318,Castlebridge,Wexford,-6.430338,52.415352,95000,1,3,G,detached,,287405.5853
319,Tacumshane,Wexford,-6.552747718,52.23592952,325000,2,5,C2,detached,195,331056.3307
320,Oilgate,Wexford,-6.542396,52.413244,15000,0,3,Exempt,detached,,288228.8716
321,Clonard,Wexford,-6.491519,52.33314,179500,3,3,D1,semi-detached,,284579.9187
322,Monageer,Wexford,-6.481231,52.528825,150000,3,4,C1,semi-detached,,284050.7678
323,Gorey,Wexford,-6.316364,52.671233,330000,4,4,C2,detached,231.96,341135.756
324,Gorey,Wexford,-6.416032,52.660005,499000,2,4,A3,detached,204.4,336346.9265
325,Wexford Town,Wexford,-6.457259,52.332343,170000,1,2,D2,townhouse,,288240.9159
326,Wexford Town,Wexford,-6.474674,52.323632,210000,3,3,C2,semi-detached,103,310044.0007
327,Wexford Town,Wexford,-6.489404,52.332257,189500,1,3,D1,semi-detached,,286953.8067
328,Tagoat,Wexford,-6.378701,52.234131,110000,1,3,G,detached,67,303540.9825
329,Blackwater,Wexford,-6.35939,52.437394,229000,1,3,D1,detached,122.4,317933.3524
330,Wexford Town,Wexford,-6.476436,52.343881,135000,1,2,D2,semi-detached,,288216.9117
331,Duncannon,Wexford,-6.932615,52.233164,300000,3,4,C3,detached,,281679.103
332,Kilmore,Wexford,-6.541704,52.213339,245000,3,3,C3,detached,191.8,331413.9664
333,Wexford Town,Wexford,-6.467471,52.340464,165000,1,3,D1,terraced,,287049.4297
334,New Ross,Wexford,-6.961283,52.250887,595000,4,4,B3,detached,378,373825.7306
335,Gorey,Wexford,-6.299245,52.670182,245000,3,4,C2,semi-detached,141.67,320070.0115
336,Gorey,Wexford,-6.293387,52.670978,173500,2,2,B3,terraced,,288653.6149
337,Piercestown,Wexford,-6.4825,52.274007,450000,2,2,Exempt,detached,220,341130.1523
338,Wexford Town,Wexford,-6.4622471,52.3321606,90000,1,2,G,townhouse,,288224.5327
339,Castletown,Wexford,-6.187952,52.721974,250000,2,5,G,detached,159,324868.0553
340,Enniscorthy,Wexford,-6.572272,52.508066,220000,1,3,G,detached,108.2,313976.6325
341,Gorey,Wexford,-6.31206,52.731377,425000,3,4,C3,detached,173,327962.8297
342,Gorey,Wexford,-6.26978988,52.71597582,375000,4,4,D2,detached,,284131.6887
343,Hilltown,Wexford,-6.715835,52.280994,295000,7,7,D1,detached,,274223.2006
344,Enniscorthy,Wexford,-6.642235,52.488348,365000,3,5,,detached,,282226.7879
345,Coolgreany,Wexford,-6.233903,52.764016,159000,1,3,C2,semi-detached,85.08,310153.1463
346,New Ross,Wexford,-6.880399,52.414289,495000,5,5,C1,detached,301.9,353435.7064
347,Kildavin,Wexford,-6.697324,52.687907,175000,1,3,F,detached,,287427.8614
348,Cleariestown,Wexford,-6.605432,52.286529,295000,3,4,C1,detached,279.5,351922.0863
349,Enniscorthy,Wexford,-6.594943,52.515998,340000,4,5,,detached,215.1,334409.3742
350,Rosslare Strand,Wexford,-6.3951121,52.2723634,155000,2,3,,detached,,285876.7623
351,Enniscorthy,Wexford,-6.594951338,52.51597387,340000,4,5,,detached,215.1,334409.2709
352,Enniscorthy,Wexford,-6.58821696,52.46507305,315000,1,3,C2,detached,,287063.7863
353,Rosslare Harbour,Wexford,-6.327121354,52.24449219,550000,3,4,C3,terraced,,283633.3872
354,Camolin,Wexford,-6.473027,52.644331,325000,3,4,C1,detached,222.97,339518.2347
355,Wellington Bridge,Wexford,-6.7262273,52.2275426,450000,3,4,B3,detached,255.5,345423.5351
356,Ballymurn,Wexford,-6.467882,52.418811,435000,2,4,C1,detached,260.1,349172.3629
357,Gorey,Wexford,-6.306698741,52.67647544,187000,1,2,C2,terraced,60,304633.9527
358,Ballycanew,Wexford,-6.310459,52.59347,270000,2,5,C3,detached,210,336667.6678
359,Kilmuckridge,Wexford,-6.288585,52.516395,139000,2,3,D2,terraced,92.9,309937.7808
360,Enniscorthy,Wexford,-6.555384226,52.50707643,127500,1,3,,end-of-terrace,,287301.5812
361,Enniscorthy,Wexford,-6.566951562,52.50122822,175000,1,3,,terraced,,287246.3093
362,New Ross,Wexford,-6.9373183,52.4041125,115000,2,3,D1,terraced,95.12,308073.3139
363,Gorey,Wexford,-6.285948,52.514984,180000,3,3,C2,semi-detached,98,310016.3408
364,Wexford Town,Wexford,-6.4610055,52.3332118,75000,1,2,D2,townhouse,,288231.8142
365,New Ross,Wexford,-6.9467982,52.3918671,350000,2,6,G,semi-detached,232.3,338332.74
366,Baldwinstown,Wexford,-6.583299637,52.23611837,,1,4,C2,end-of-terrace,,285165.1438
367,Duncormick,Wexford,-6.65250177,52.2292675,295000,2,4,B3,detached,,283739.0914
368,Killinick,Wexford,-6.433728933,52.23641404,165000,1,2,E1,detached,77.05,307041.2754
369,Bunclody,Wexford,-6.6553402,52.6538103,185000,1,4,F,terraced,104,311955.2681
370,New Ross,Wexford,-6.977695,52.319422,495000,1,3,E1,detached,,285366.0213
371,Enniscorthy,Wexford,-6.465239,52.551045,290000,4,5,C1,detached,270,348492.2012
372,Cullenstown,Wexford,-6.708129644,52.22151646,139000,2,2,C2,terraced,79,305421.1752
373,Ballycanew,Wexford,-6.311307,52.594929,50000,1,2,G,detached,42,299913.6283
374,Blackwater,Wexford,-6.342989,52.445823,270000,4,4,D1,detached,,283039.3571
375,Ferns,Wexford,-6.502009,52.590881,159000,1,3,D1,semi-detached,89,309720.5915
376,Ballycullane,Wexford,-6.827047,52.260065,135000,1,2,D1,detached,92.9,309785.5221
377,Ballygarrett,Wexford,-6.208971,52.554326,169000,1,3,F,detached,84,309297.5082
378,Bannow,Wexford,-6.758976,52.222273,315000,2,4,C3,detached,113.3,311364.6035
379,Wexford Town,Wexford,-6.470043,52.34105,125000,1,2,E2,terraced,60,303048.148
380,Wexford Town,Wexford,-6.499152,52.339336,192500,3,3,C2,semi-detached,93.6,307694.6716
381,Wexford Town,Wexford,-6.452907,52.331914,90000,1,2,G,terraced,,288253.3367
382,Ballindaggan,Wexford,-6.667569,52.555938,239000,1,2,G,detached,,288286.8039
383,New Ross,Wexford,-6.958446,52.395207,195000,2,3,B2,semi-detached,,284483.3774
384,New Ross,Wexford,-6.958476,52.395252,195000,2,3,B2,semi-detached,,284483.4257
385,New Ross,Wexford,-6.958529,52.395377,195000,2,3,B2,semi-detached,,284483.6559
386,Gorey,Wexford,-6.293524,52.672137,950000,6,6,,detached,320.9,358439.1723
387,Campile,Wexford,-6.913257,52.271688,360000,3,5,B3,detached,232.3,338056.2281
389,New Ross,Wexford,-6.945137,52.386159,249000,2,4,C3,detached,,283311.7224
390,Ferns,Wexford,-6.410751,52.536493,70000,1,3,G,detached,,287853.471
391,New Ross,Wexford,-6.946609,52.392035,180000,3,3,Exempt,end-of-terrace,170,325315.7742
392,Enniscorthy,Wexford,-6.574232,52.513544,120000,0,2,C3,terraced,82,309886.4707
394,Tagoat,Wexford,-6.387099,52.244004,315000,3,5,C3,detached,183.8,327655.4231
395,Gorey,Wexford,-6.435462,52.626431,375000,2,4,C3,detached,133.56,318680.9591
396,Ballymitty,Wexford,-6.642037,52.278447,320000,3,4,C1,detached,,282743.8805
397,Killurin,Wexford,-6.606582,52.368111,369000,4,4,B2,detached,,281956.7818
398,Wexford Town,Wexford,-6.506181,52.341408,349500,3,4,C2,detached,,283374.8031
399,New Ross,Wexford,-6.938526,52.387451,165000,3,3,C3,terraced,102.2,308580.1811
400,Enniscorthy,Wexford,-6.570133,52.501827,155000,2,4,G,terraced,132,317472.1377
401,Enniscorthy,Wexford,-6.589696,52.512397,199000,4,3,C3,end-of-terrace,,283654.8275
402,Fethard-On-Sea,Wexford,-6.808818,52.24493,285000,3,3,C3,detached,148.6,319997.9666
403,Duncannon,Wexford,-6.932536,52.221145,237500,2,3,C3,semi-detached,92.9,306957.3728
404,Bunclody,Wexford,-6.621288,52.639786,285000,3,5,D1,detached,181.5,327605.978
405,Enniscorthy,Wexford,-6.569629,52.515884,149000,3,3,C2,semi-detached,113.7,312998.4059
406,Enniscorthy,Wexford,-6.573323,52.500006,120000,2,2,D2,terraced,64,303030.2318
407,Whiterock,Wexford,-6.475935,52.314683,189000,3,3,B3,terraced,,284570.5033
408,Wellington Bridge,Wexford,-6.730746,52.23875,275000,2,4,C3,detached,196.9,332155.7154
409,Wexford Town,Wexford,-6.476002,52.343845,629000,3,5,,semi-detached,287,353182.172
410,Bunclody,Wexford,-6.666175,52.657912,249000,2,4,D2,detached,152.38,322698.8673
411,Wexford Town,Wexford,-6.473107983,52.33885982,185000,1,2,G,detached,80,307971.4624
412,Enniscorthy,Wexford,-6.536878,52.515037,425000,3,4,C2,detached,195,331995.5633
413,Enniscorthy,Wexford,-6.55874,52.504982,129000,1,3,D2,terraced,92,310008.2794
414,New Ross,Wexford,-6.9359886,52.4016494,230000,1,6,D1,detached,168.33,323782.5515
415,Enniscorthy,Wexford,-6.69915236,52.49825702,100000,4,4,,detached,,282078.0339
416,Gorey,Wexford,-6.295735,52.676998,230000,1,3,D2,semi-detached,90,310895.3502
417,Gorey,Wexford,-6.280132,52.739533,515000,3,5,C1,detached,227,340242.9544
418,Riverchapel,Wexford,-6.230186,52.639155,165000,3,4,C3,semi-detached,105,311132.4794
419,Screen,Wexford,-6.40965,52.423354,395000,3,6,C1,detached,243,341592.6113
420,Enniscorthy,Wexford,-6.608725,52.437282,219000,3,4,C1,detached,143,318676.3024
421,Killurin,Wexford,-6.635321,52.39859,325000,4,4,C2,detached,149.3,318839.9122
422,Rosslare Harbour,Wexford,-6.346613,52.250924,237500,3,6,D1,detached,,281222.123
423,Gorey,Wexford,-6.304653,52.674502,349000,7,10,C3,detached,425,378199.1482
424,Gorey,Wexford,-6.2991,52.675521,560000,3,4,C1,detached,230,341904.9856
425,Gorey,Wexford,-6.339912,52.664085,440000,4,5,C3,detached,,282559.2695
426,Clonegal,Wexford,-6.669915,52.69656,375000,0,5,C2,detached,241.7,346057.1529
427,Kilmore Quay,Wexford,-6.57908,52.183737,455000,7,7,C1,detached,278.7,343185.5769
428,Enniscorthy,Wexford,-6.571594,52.498435,175000,2,3,D1,terraced,96,309749.7057
429,Enniscorthy,Wexford,-6.526371,52.454459,239000,2,4,D2,detached,115,313260.9086
