Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
499,Wexford Town,Wexford,-6.461009,52.333215,75000,1,2,D2,terraced,,288231.8133
500,Wexford Town,Wexford,-6.474641139,52.33788243,249950,1,3,E2,terraced,,287018.4924
501,Riverchapel,Wexford,-6.232754,52.639864,125000,2,3,E1,terraced,76,306333.6022
502,Gorey,Wexford,-6.23368,52.639826,105000,2,3,C3,terraced,80,307318.5476
503,Tagoat,Wexford,-6.385068,52.245646,169000,2,3,C3,end-of-terrace,90,308053.4871
504,Kilmuckridge,Wexford,-6.281856,52.514808,185000,2,4,C2,semi-detached,108,312498.7437
505,Ballymurn,Wexford,-6.477624,52.441778,185000,2,3,C1,semi-detached,129.3,318092.0501
506,Gorey,Wexford,-6.295909,52.667402,239000,2,3,C3,detached,92.12,310202.8757
507,New Ross,Wexford,-6.93756,52.406987,189000,2,4,D1,detached,,283402.0635
508,Gorey,Wexford,-6.312819,52.672547,295000,1,3,E2,detached,110,315767.0516
509,Ballymurn,Wexford,-6.490052,52.439023,499500,7,6,B3,detached,340,360606.8035
510,Gorey,Wexford,-6.261213,52.513002,300000,3,4,C1,detached,203.6,334986.5886
511,Rosslare Strand,Wexford,-6.384657,52.243692,169000,3,3,C1,semi-detached,122.3,314841.6656
512,Gorey,Wexford,-6.30218,52.676404,205000,3,3,D1,semi-detached,101,311220.0405
513,Piercestown,Wexford,-6.476740837,52.28519289,450000,4,5,B2,detached,,280919.0244
514,Kilmore,Wexford,-6.520379,52.199279,159000,1,4,F,detached,122,315381.1429
515,Wexford Town,Wexford,-6.465917,52.329751,349500,3,5,C3,detached,185.8,328172.8319
516,Bannow,Wexford,-6.784634,52.216218,315000,3,3,C2,detached,359.5,372075.4338
517,Inch,Wexford,-6.211204,52.757264,400000,3,4,C3,detached,150,322683.7916
518,Enniscorthy,Wexford,-6.544147,52.502567,195000,1,3,F,detached,116,315974.8182
519,Kilmuckridge,Wexford,-6.279965,52.507015,185000,3,4,C1,semi-detached,128.66,316397.9337
520,Gorey,Wexford,-6.2926,52.675052,130000,1,3,,semi-detached,85,309664.0838
521,Ballycullane,Wexford,-6.834166252,52.27664744,175000,3,4,F,detached,,282129.4834
522,Bannow,Wexford,-6.778131,52.216175,435000,3,4,B3,detached,,282114.3984
523,Enniscorthy,Wexford,-6.558963,52.505089,117000,1,3,E2,end-of-terrace,,287283.9137
524,Fethard-On-Sea,Wexford,-6.881274,52.170721,299950,3,5,C1,detached,262.4,345270.6704
525,Gorey,Wexford,-6.314141,52.718026,995000,4,4,B3,detached,418.2,387293.1141
526,Enniscorthy,Wexford,-6.532252,52.446271,345000,3,4,C2,detached,,283626.1988
527,Enniscorthy,Wexford,-6.577241,52.501908,200000,2,3,D1,detached,130.1,318165.5775
528,Gorey,Wexford,-6.372256,52.67789,250000,2,3,D1,detached,143,322561.7726
529,Ferns,Wexford,-6.432633,52.567673,239000,2,4,D1,detached,115.97,314158.0472
531,Gorey,Wexford,-6.327693,52.600319,385000,3,4,,detached,347,370473.8846
532,Ardamine,Wexford,-6.235792,52.628219,200000,2,4,F,detached,115,314734.8885
533,Wexford Town,Wexford,-6.474133,52.330121,165000,1,2,C3,terraced,,288180.382
534,Enniscorthy,Wexford,-6.62082,52.479559,245000,4,5,C3,detached,152,318625.6377
535,New Ross,Wexford,-6.91554,52.330651,135000,1,3,G,detached,,285598.6927
536,Bunclody,Wexford,-6.6658169,52.6536329,329995,2,4,E1,detached,193,332719.5128
537,Fethard-On-Sea,Wexford,-6.834834,52.197637,275000,2,4,C2,detached,170.4,325149.5197
538,Drinagh,Wexford,-6.455768,52.297045,675000,2,4,C2,detached,,284578.2153
539,Enniscorthy,Wexford,-6.558525,52.503626,147000,1,2,D1,terraced,95,311930.6416
540,Wexford Town,Wexford,-6.464445,52.288753,385000,8,8,D1,detached,410,373944.3165
541,Wexford Town,Wexford,-6.471271,52.340163,150000,1,3,D1,terraced,80,306796.4326
542,Wexford Town,Wexford,-6.470496,52.305782,269000,2,5,C2,detached,184,328822.3843
543,New Ross,Wexford,-6.94133,52.390227,160000,2,4,E1,end-of-terrace,,283336.7396
544,Gorey,Wexford,-6.29295,52.676736,189000,2,3,D1,end-of-terrace,89.75,309656.5886
545,Enniscorthy,Wexford,-6.427627,52.480048,150000,3,3,C2,semi-detached,97.96,309446.3505
546,Killinick,Wexford,-6.480507,52.265023,285000,1,4,F,detached,,285582.8521
547,Enniscorthy,Wexford,-6.575104,52.516537,140000,2,2,C2,terraced,80,307029.2409
548,Rosslare Strand,Wexford,-6.395055,52.267504,495000,3,4,A1,detached,177,327210.466
549,Gorey,Wexford,-6.29343,52.646136,290000,1,3,C2,detached,155.83,327064.3669
550,Enniscorthy,Wexford,-6.582198,52.505063,159000,2,3,D1,semi-detached,100,310725.2224
551,New Ross,Wexford,-6.9346,52.390733,340000,3,6,C1,detached,223.44,334994.3518
552,Gorey,Wexford,-6.301742,52.668465,195000,3,2,D1,semi-detached,,287434.1424
553,Carne,Wexford,-6.369668,52.197993,145000,2,2,F,semi-detached,80,306665.4995
554,Wellington Bridge,Wexford,-6.663796,52.257404,275000,1,4,D1,detached,130.1,317112.626
555,Fethard,Wexford,-6.893576,52.15702,250000,2,3,D1,semi-detached,95,307395.2599
556,New Ross,Wexford,-6.939172,52.398614,165000,3,5,B3,end-of-terrace,115,309405.2887
557,Enniscorthy,Wexford,-6.573853,52.509658,430000,4,5,C1,detached,262.9,346262.5944
558,Gorey,Wexford,-6.231293,52.637516,139000,1,2,E2,semi-detached,59.06,304516.5722
559,Wexford Town,Wexford,-6.498077,52.336909,185000,2,3,C2,semi-detached,90,307986.1472
560,Enniscorthy,Wexford,-6.570393,52.498248,69000,1,3,F,terraced,,287225.9149
561,Riverchapel,Wexford,-6.232812,52.633112,145000,3,4,C3,terraced,92,307893.9133
562,Carne,Wexford,-6.355729,52.196581,185000,3,3,C2,detached,125,315450.161
563,Wexford Town,Wexford,-6.477984,52.346095,289000,1,2,D2,terraced,,288219.0593
564,Castlebridge,Wexford,-6.452033,52.385274,270000,3,5,E2,detached,,282501.0571
565,Wexford Town,Wexford,-6.549517,52.386602,750000,3,4,B2,detached,230,340191.4575
566,Newbawn,Wexford,-6.76423,52.358512,197500,1,3,E2,detached,,286166.7801
567,Ballycanew,Wexford,-6.306382,52.612056,225000,2,4,D2,detached,125,316929.7802
568,Ferns,Wexford,-6.501684,52.589965,140000,2,3,D2,terraced,74,304828.7036
569,Wexford Town,Wexford,-6.464666,52.33784,395000,3,4,Exempt,end-of-terrace,,283494.9585
570,Barntown,Wexford,-6.59701,52.317563,275000,2,3,G,detached,120.8,315218.7105
571,Wexford Town,Wexford,-6.451088,52.327966,97500,1,4,G,terraced,,285876.5249
572,Clonroche,Wexford,-6.810388,52.44094,165000,1,2,E1,detached,80,307228.0847
